nohup: ignoring input
Using /data1/wcc/.cache/torch_extensions/py39_cu117 as PyTorch extensions root...
Detected CUDA files, patching ldflags
Emitting ninja build file /data1/wcc/.cache/torch_extensions/py39_cu117/_raymarching/build.ninja...
Building extension module _raymarching...
Allowing ninja to set a default number of workers... (overridable by setting the environment variable MAX_JOBS=N)
ninja: no work to do.
Loading extension module _raymarching...
Using /data1/wcc/.cache/torch_extensions/py39_cu117 as PyTorch extensions root...
Detected CUDA files, patching ldflags
Emitting ninja build file /data1/wcc/.cache/torch_extensions/py39_cu117/_grid_encoder/build.ninja...
Building extension module _grid_encoder...
Allowing ninja to set a default number of workers... (overridable by setting the environment variable MAX_JOBS=N)
ninja: no work to do.
Loading extension module _grid_encoder...
Using /data1/wcc/.cache/torch_extensions/py39_cu117 as PyTorch extensions root...
Detected CUDA files, patching ldflags
Emitting ninja build file /data1/wcc/.cache/torch_extensions/py39_cu117/_freqencoder/build.ninja...
Building extension module _freqencoder...
Allowing ninja to set a default number of workers... (overridable by setting the environment variable MAX_JOBS=N)
Namespace(path='/home/wcc/RodinHD/data/fitting_obj_list_300.txt', save_dir='/home/wcc/RodinHD/data/save_triplane_and_mlp_300_plus', data_root='/home/wcc/RodinHD/data/raw_data_300', O=True, test=False, ray_shuffle=True, workspace='/home/wcc/RodinHD/data/save_triplane_and_mlp_300_plus', seed=0, iters=5000, lr0=0.001, lr1=0.0001, ckpt='latest', num_rays=65536, cuda_ray=True, max_steps=1024, num_steps=512, update_extra_interval=16, upsample_steps=512, max_ray_batch=4096, l1_reg_weight=0.0001, tv_weight=0.01, dist_weight=0.0, iwc_weight=0.1, patch_size=1, fp16=True, cp=False, triplane_channels=32, downscale=1, resolution0=512, resolution1=512, upsample_model_steps=[], grid_size=256, color_space='srgb', preload=True, bound=1.0, scale=0.4, offset=[0, 0, 0], dt_gamma=0.0, min_near=0.2, density_thresh=10, bg_radius=-1, gui=False, W=1920, H=1080, radius=5, fovy=50, max_spp=64, num_train_frames=300, out_loop_eps=90, eval_freq=1, no_tqdm=False, random_noise=False, random_scale=False, error_map=False, clip_text='', rand_pose=-1, start_idx=0, end_idx=1, eval_video=False)
Render using grid size:  256
ninja: no work to do.
Loading extension module _freqencoder...
NeRFNetworkPlus(
  (grid_sample): GridEncoder: input_dim=2 num_levels=3 level_dim=32 resolution=512 -> 512 per_level_scale=1.0000 gridtype=tiled align_corners=True interpolation=linear
  (encoder): FreqEncoder: input_dim=24 degree=2 output_dim=120
  (encoder_sigma): FreqEncoder: input_dim=8 degree=2 output_dim=40
  (encoder_dir): FreqEncoder: input_dim=3 degree=2 output_dim=15
  (color_net): ModuleList(
    (0): Linear(in_features=263, out_features=128, bias=False)
    (1): Linear(in_features=128, out_features=128, bias=False)
    (2): Linear(in_features=128, out_features=3, bias=False)
  )
  (sigma_net): Sequential(
    (0): Linear(in_features=40, out_features=128, bias=True)
    (1): Softplus(beta=1, threshold=20)
    (2): Linear(in_features=128, out_features=129, bias=True)
  )
)
1
Loading triplane from /home/wcc/RodinHD/data/save_triplane_and_mlp_300_plus/1_1_neutral.npy
tensor(-6.0571) tensor(-0.0211)
Generate dataset cost 10.26452112197876 s/avatar.

[INFO] Trainer: ngp | 2024-10-29_13-41-45 | cuda:0 | fp16 | 
/home/wcc/RodinHD/data/save_triplane_and_mlp_300_plus
[INFO] #parameters: 72321
[INFO] Loading latest checkpoint ...
[INFO] Latest checkpoint is 
/home/wcc/RodinHD/data/save_triplane_and_mlp_300_plus/checkpoints/ngp_ep0000.pth
.pth
[INFO] loaded model.
[WARN] missing keys: ['density_grid', 'density_bitfield']
Loading triplane from /home/wcc/RodinHD/data/save_triplane_and_mlp_300_plus/1_1_neutral.npy
tensor(-6.0571) tensor(-0.0211)
==> Start Training Epoch(random shuffle rays) 1, lr1=0.000100 lr0=0.001000

  0% 0/4800 [00:00<?, ?it/s]
loss=0.1544 (0.1544): :   0% 0/4800 [00:02<?, ?it/s]
loss=0.1544 (0.1544): :   0% 1/4800 [00:02<3:59:31,  2.99s/it]
loss=0.1591 (0.1567): :   0% 1/4800 [00:03<3:59:31,  2.99s/it]
loss=0.1591 (0.1567): :   0% 2/4800 [00:03<1:49:47,  1.37s/it]
loss=0.1565 (0.1567): :   0% 2/4800 [00:03<1:49:47,  1.37s/it]
loss=0.1565 (0.1567): :   0% 3/4800 [00:03<1:08:50,  1.16it/s]
loss=0.1547 (0.1562): :   0% 3/4800 [00:03<1:08:50,  1.16it/s]
loss=0.1547 (0.1562): :   0% 4/4800 [00:03<49:09,  1.63it/s]  
loss=0.1520 (0.1553): :   0% 4/4800 [00:04<49:09,  1.63it/s]
loss=0.1520 (0.1553): :   0% 5/4800 [00:04<48:51,  1.64it/s]
loss=0.1615 (0.1563): :   0% 5/4800 [00:04<48:51,  1.64it/s]
loss=0.1615 (0.1563): :   0% 6/4800 [00:04<38:42,  2.06it/s]
loss=0.1583 (0.1566): :   0% 6/4800 [00:04<38:42,  2.06it/s]
loss=0.1583 (0.1566): :   0% 7/4800 [00:04<32:14,  2.48it/s]
loss=0.1516 (0.1560): :   0% 7/4800 [00:05<32:14,  2.48it/s]
loss=0.1516 (0.1560): :   0% 8/4800 [00:05<27:59,  2.85it/s]
loss=0.1593 (0.1564): :   0% 8/4800 [00:05<27:59,  2.85it/s]
loss=0.1593 (0.1564): :   0% 9/4800 [00:05<25:10,  3.17it/s]
loss=0.1579 (0.1565): :   0% 9/4800 [00:05<25:10,  3.17it/s]
loss=0.1579 (0.1565): :   0% 10/4800 [00:05<29:36,  2.70it/s]
loss=0.1528 (0.1562): :   0% 10/4800 [00:06<29:36,  2.70it/s]
loss=0.1528 (0.1562): :   0% 11/4800 [00:06<26:20,  3.03it/s]
loss=0.1515 (0.1558): :   0% 11/4800 [00:06<26:20,  3.03it/s]
loss=0.1515 (0.1558): :   0% 12/4800 [00:06<24:07,  3.31it/s]
loss=0.1477 (0.1552): :   0% 12/4800 [00:06<24:07,  3.31it/s]
loss=0.1477 (0.1552): :   0% 13/4800 [00:06<22:32,  3.54it/s]
loss=0.1516 (0.1549): :   0% 13/4800 [00:06<22:32,  3.54it/s]
loss=0.1516 (0.1549): :   0% 14/4800 [00:06<21:26,  3.72it/s]
loss=0.1544 (0.1549): :   0% 14/4800 [00:07<21:26,  3.72it/s]
loss=0.1544 (0.1549): :   0% 15/4800 [00:07<26:33,  3.00it/s]
loss=0.1609 (0.1553): :   0% 15/4800 [00:07<26:33,  3.00it/s]
loss=0.1609 (0.1553): :   0% 16/4800 [00:07<24:16,  3.29it/s]
loss=0.1500 (0.1549): :   0% 16/4800 [00:07<24:16,  3.29it/s]
loss=0.1500 (0.1549): :   0% 17/4800 [00:07<22:41,  3.51it/s]
loss=0.1530 (0.1548): :   0% 17/4800 [00:07<22:41,  3.51it/s]
loss=0.1530 (0.1548): :   0% 18/4800 [00:07<21:32,  3.70it/s]
loss=0.1565 (0.1549): :   0% 18/4800 [00:08<21:32,  3.70it/s]
loss=0.1565 (0.1549): :   0% 19/4800 [00:08<20:46,  3.84it/s]
loss=0.1548 (0.1549): :   0% 19/4800 [00:08<20:46,  3.84it/s]
loss=0.1548 (0.1549): :   0% 20/4800 [00:08<26:18,  3.03it/s]
loss=0.1599 (0.1552): :   0% 20/4800 [00:08<26:18,  3.03it/s]
loss=0.1599 (0.1552): :   0% 21/4800 [00:08<24:04,  3.31it/s]
loss=0.1535 (0.1551): :   0% 21/4800 [00:09<24:04,  3.31it/s]
loss=0.1535 (0.1551): :   0% 22/4800 [00:09<22:32,  3.53it/s]
loss=0.1517 (0.1549): :   0% 22/4800 [00:09<22:32,  3.53it/s]
loss=0.1517 (0.1549): :   0% 23/4800 [00:09<21:27,  3.71it/s]
loss=0.1516 (0.1548): :   0% 23/4800 [00:09<21:27,  3.71it/s]
loss=0.1516 (0.1548): :   0% 24/4800 [00:09<20:42,  3.84it/s]
loss=0.1449 (0.1544): :   0% 24/4800 [00:10<20:42,  3.84it/s]
loss=0.1449 (0.1544): :   1% 25/4800 [00:10<26:03,  3.05it/s]
loss=0.1533 (0.1544): :   1% 25/4800 [00:10<26:03,  3.05it/s]
loss=0.1533 (0.1544): :   1% 26/4800 [00:10<23:55,  3.33it/s]
loss=0.1510 (0.1542): :   1% 26/4800 [00:10<23:55,  3.33it/s]
loss=0.1510 (0.1542): :   1% 27/4800 [00:10<22:23,  3.55it/s]
loss=0.1519 (0.1541): :   1% 27/4800 [00:10<22:23,  3.55it/s]
loss=0.1519 (0.1541): :   1% 28/4800 [00:10<21:19,  3.73it/s]
loss=0.1504 (0.1540): :   1% 28/4800 [00:11<21:19,  3.73it/s]
loss=0.1504 (0.1540): :   1% 29/4800 [00:11<20:36,  3.86it/s]
loss=0.1444 (0.1537): :   1% 29/4800 [00:11<20:36,  3.86it/s]
loss=0.1444 (0.1537): :   1% 30/4800 [00:11<25:53,  3.07it/s]
loss=0.1510 (0.1536): :   1% 30/4800 [00:11<25:53,  3.07it/s]
loss=0.1510 (0.1536): :   1% 31/4800 [00:11<23:48,  3.34it/s]
loss=0.1484 (0.1534): :   1% 31/4800 [00:11<23:48,  3.34it/s]
loss=0.1484 (0.1534): :   1% 32/4800 [00:11<22:19,  3.56it/s]
loss=0.1509 (0.1534): :   1% 32/4800 [00:12<22:19,  3.56it/s]
loss=0.1509 (0.1534): :   1% 33/4800 [00:12<21:18,  3.73it/s]
loss=0.1430 (0.1531): :   1% 33/4800 [00:12<21:18,  3.73it/s]
loss=0.1430 (0.1531): :   1% 34/4800 [00:12<20:34,  3.86it/s]
loss=0.1464 (0.1529): :   1% 34/4800 [00:12<20:34,  3.86it/s]
loss=0.1464 (0.1529): :   1% 35/4800 [00:12<20:05,  3.95it/s]
loss=0.1402 (0.1525): :   1% 35/4800 [00:13<20:05,  3.95it/s]
loss=0.1402 (0.1525): :   1% 36/4800 [00:13<25:26,  3.12it/s]
loss=0.1429 (0.1523): :   1% 36/4800 [00:13<25:26,  3.12it/s]
loss=0.1429 (0.1523): :   1% 37/4800 [00:13<23:27,  3.38it/s]
loss=0.1413 (0.1520): :   1% 37/4800 [00:13<23:27,  3.38it/s]
loss=0.1413 (0.1520): :   1% 38/4800 [00:13<22:29,  3.53it/s]
loss=0.1395 (0.1517): :   1% 38/4800 [00:13<22:29,  3.53it/s]
loss=0.1395 (0.1517): :   1% 39/4800 [00:13<21:41,  3.66it/s]
loss=0.1314 (0.1511): :   1% 39/4800 [00:14<21:41,  3.66it/s]
loss=0.1314 (0.1511): :   1% 40/4800 [00:14<21:07,  3.76it/s]
loss=0.1331 (0.1507): :   1% 40/4800 [00:14<21:07,  3.76it/s]
loss=0.1331 (0.1507): :   1% 41/4800 [00:14<26:49,  2.96it/s]
loss=0.1347 (0.1503): :   1% 41/4800 [00:14<26:49,  2.96it/s]
loss=0.1347 (0.1503): :   1% 42/4800 [00:14<25:08,  3.15it/s]
loss=0.1323 (0.1499): :   1% 42/4800 [00:15<25:08,  3.15it/s]
loss=0.1323 (0.1499): :   1% 43/4800 [00:15<24:23,  3.25it/s]
loss=0.1299 (0.1495): :   1% 43/4800 [00:15<24:23,  3.25it/s]
loss=0.1299 (0.1495): :   1% 44/4800 [00:15<23:38,  3.35it/s]
loss=0.1277 (0.1490): :   1% 44/4800 [00:15<23:38,  3.35it/s]
loss=0.1277 (0.1490): :   1% 45/4800 [00:15<23:03,  3.44it/s]
loss=0.1318 (0.1486): :   1% 45/4800 [00:16<23:03,  3.44it/s]
loss=0.1318 (0.1486): :   1% 46/4800 [00:16<29:48,  2.66it/s]
loss=0.1187 (0.1480): :   1% 46/4800 [00:16<29:48,  2.66it/s]
loss=0.1187 (0.1480): :   1% 47/4800 [00:16<27:14,  2.91it/s]
loss=0.1238 (0.1475): :   1% 47/4800 [00:16<27:14,  2.91it/s]
loss=0.1238 (0.1475): :   1% 48/4800 [00:16<25:28,  3.11it/s]
loss=0.1197 (0.1469): :   1% 48/4800 [00:17<25:28,  3.11it/s]
loss=0.1197 (0.1469): :   1% 49/4800 [00:17<24:08,  3.28it/s]
loss=0.1204 (0.1464): :   1% 49/4800 [00:17<24:08,  3.28it/s]
loss=0.1204 (0.1464): :   1% 50/4800 [00:17<23:08,  3.42it/s]
loss=0.1193 (0.1458): :   1% 50/4800 [00:18<23:08,  3.42it/s]
loss=0.1193 (0.1458): :   1% 51/4800 [00:18<31:45,  2.49it/s]
loss=0.1069 (0.1451): :   1% 51/4800 [00:18<31:45,  2.49it/s]
loss=0.1069 (0.1451): :   1% 52/4800 [00:18<28:21,  2.79it/s]
loss=0.1042 (0.1443): :   1% 52/4800 [00:18<28:21,  2.79it/s]
loss=0.1042 (0.1443): :   1% 53/4800 [00:18<25:58,  3.05it/s]
loss=0.1042 (0.1436): :   1% 53/4800 [00:18<25:58,  3.05it/s]
loss=0.1042 (0.1436): :   1% 54/4800 [00:18<24:16,  3.26it/s]
loss=0.0993 (0.1428): :   1% 54/4800 [00:19<24:16,  3.26it/s]
loss=0.0993 (0.1428): :   1% 55/4800 [00:19<23:00,  3.44it/s]
loss=0.0976 (0.1420): :   1% 55/4800 [00:19<23:00,  3.44it/s]
loss=0.0976 (0.1420): :   1% 56/4800 [00:19<30:20,  2.61it/s]
loss=0.0876 (0.1410): :   1% 56/4800 [00:19<30:20,  2.61it/s]
loss=0.0876 (0.1410): :   1% 57/4800 [00:19<27:13,  2.90it/s]
loss=0.0914 (0.1401): :   1% 57/4800 [00:20<27:13,  2.90it/s]
loss=0.0914 (0.1401): :   1% 58/4800 [00:20<25:00,  3.16it/s]
loss=0.0857 (0.1392): :   1% 58/4800 [00:20<25:00,  3.16it/s]
loss=0.0857 (0.1392): :   1% 59/4800 [00:20<23:26,  3.37it/s]
loss=0.0797 (0.1382): :   1% 59/4800 [00:20<23:26,  3.37it/s]
loss=0.0797 (0.1382): :   1% 60/4800 [00:20<22:17,  3.54it/s]
loss=0.0789 (0.1373): :   1% 60/4800 [00:21<22:17,  3.54it/s]
loss=0.0789 (0.1373): :   1% 61/4800 [00:21<28:04,  2.81it/s]
loss=0.0716 (0.1362): :   1% 61/4800 [00:21<28:04,  2.81it/s]
loss=0.0716 (0.1362): :   1% 62/4800 [00:21<25:31,  3.09it/s]
loss=0.0724 (0.1352): :   1% 62/4800 [00:21<25:31,  3.09it/s]
loss=0.0724 (0.1352): :   1% 63/4800 [00:21<23:41,  3.33it/s]
loss=0.0699 (0.1342): :   1% 63/4800 [00:21<23:41,  3.33it/s]
loss=0.0699 (0.1342): :   1% 64/4800 [00:21<22:24,  3.52it/s]
loss=0.0656 (0.1331): :   1% 64/4800 [00:22<22:24,  3.52it/s]
loss=0.0656 (0.1331): :   1% 65/4800 [00:22<21:27,  3.68it/s]
loss=0.0646 (0.1321): :   1% 65/4800 [00:22<21:27,  3.68it/s]
loss=0.0646 (0.1321): :   1% 66/4800 [00:22<26:42,  2.95it/s]
loss=0.0597 (0.1310): :   1% 66/4800 [00:22<26:42,  2.95it/s]
loss=0.0597 (0.1310): :   1% 67/4800 [00:22<24:29,  3.22it/s]
loss=0.0549 (0.1299): :   1% 67/4800 [00:23<24:29,  3.22it/s]
loss=0.0549 (0.1299): :   1% 68/4800 [00:23<22:54,  3.44it/s]
loss=0.0546 (0.1288): :   1% 68/4800 [00:23<22:54,  3.44it/s]
loss=0.0546 (0.1288): :   1% 69/4800 [00:23<21:48,  3.62it/s]
loss=0.0483 (0.1276): :   1% 69/4800 [00:23<21:48,  3.62it/s]
loss=0.0483 (0.1276): :   1% 70/4800 [00:23<20:59,  3.75it/s]
loss=0.0441 (0.1265): :   1% 70/4800 [00:24<20:59,  3.75it/s]
loss=0.0441 (0.1265): :   1% 71/4800 [00:24<26:16,  3.00it/s]
loss=0.0421 (0.1253): :   1% 71/4800 [00:24<26:16,  3.00it/s]
loss=0.0421 (0.1253): :   2% 72/4800 [00:24<24:06,  3.27it/s]
loss=0.0397 (0.1241): :   2% 72/4800 [00:24<24:06,  3.27it/s]
loss=0.0397 (0.1241): :   2% 73/4800 [00:24<22:36,  3.48it/s]
loss=0.0376 (0.1229): :   2% 73/4800 [00:24<22:36,  3.48it/s]
loss=0.0376 (0.1229): :   2% 74/4800 [00:24<21:31,  3.66it/s]
loss=0.0372 (0.1218): :   2% 74/4800 [00:25<21:31,  3.66it/s]
loss=0.0372 (0.1218): :   2% 75/4800 [00:25<20:47,  3.79it/s]
loss=0.0338 (0.1206): :   2% 75/4800 [00:25<20:47,  3.79it/s]
loss=0.0338 (0.1206): :   2% 76/4800 [00:25<25:58,  3.03it/s]
loss=0.0310 (0.1195): :   2% 76/4800 [00:25<25:58,  3.03it/s]
loss=0.0310 (0.1195): :   2% 77/4800 [00:25<23:55,  3.29it/s]
loss=0.0291 (0.1183): :   2% 77/4800 [00:26<23:55,  3.29it/s]
loss=0.0291 (0.1183): :   2% 78/4800 [00:26<22:24,  3.51it/s]
loss=0.0254 (0.1171): :   2% 78/4800 [00:26<22:24,  3.51it/s]
loss=0.0254 (0.1171): :   2% 79/4800 [00:26<21:21,  3.68it/s]
loss=0.0264 (0.1160): :   2% 79/4800 [00:26<21:21,  3.68it/s]
loss=0.0264 (0.1160): :   2% 80/4800 [00:26<20:38,  3.81it/s]
loss=0.0233 (0.1149): :   2% 80/4800 [00:27<20:38,  3.81it/s]
loss=0.0233 (0.1149): :   2% 81/4800 [00:27<25:50,  3.04it/s]
loss=0.0261 (0.1138): :   2% 81/4800 [00:27<25:50,  3.04it/s]
loss=0.0261 (0.1138): :   2% 82/4800 [00:27<23:45,  3.31it/s]
