nohup: ignoring input
Using /data1/wcc/.cache/torch_extensions/py39_cu117 as PyTorch extensions root...
Detected CUDA files, patching ldflags
Emitting ninja build file /data1/wcc/.cache/torch_extensions/py39_cu117/_raymarching/build.ninja...
Building extension module _raymarching...
Allowing ninja to set a default number of workers... (overridable by setting the environment variable MAX_JOBS=N)
ninja: no work to do.
Loading extension module _raymarching...
Using /data1/wcc/.cache/torch_extensions/py39_cu117 as PyTorch extensions root...
Detected CUDA files, patching ldflags
Emitting ninja build file /data1/wcc/.cache/torch_extensions/py39_cu117/_grid_encoder/build.ninja...
Building extension module _grid_encoder...
Allowing ninja to set a default number of workers... (overridable by setting the environment variable MAX_JOBS=N)
ninja: no work to do.
Loading extension module _grid_encoder...
Using /data1/wcc/.cache/torch_extensions/py39_cu117 as PyTorch extensions root...
Detected CUDA files, patching ldflags
Emitting ninja build file /data1/wcc/.cache/torch_extensions/py39_cu117/_freqencoder/build.ninja...
Building extension module _freqencoder...
Allowing ninja to set a default number of workers... (overridable by setting the environment variable MAX_JOBS=N)
Namespace(path='/home/wcc/RodinHD/data/fitting_obj_list_300.txt', save_dir='/home/wcc/RodinHD/data/save_triplane_and_mlp_300_pro', data_root='/home/wcc/RodinHD/data/raw_data_300', O=True, test=False, ray_shuffle=True, workspace='/home/wcc/RodinHD/data/save_triplane_and_mlp_300_pro', seed=0, iters=5000, lr0=0.02, lr1=0.002, ckpt='latest', num_rays=65536, cuda_ray=True, max_steps=1024, num_steps=512, update_extra_interval=1, upsample_steps=512, max_ray_batch=4096, l1_reg_weight=0.0001, tv_weight=0.01, dist_weight=0.0, iwc_weight=0.1, patch_size=1, fp16=True, cp=False, triplane_channels=32, downscale=1, resolution0=512, resolution1=512, upsample_model_steps=[], grid_size=256, color_space='srgb', preload=True, bound=1.0, scale=0.4, offset=[0, 0, 0], dt_gamma=0.0, min_near=0.2, density_thresh=10, bg_radius=-1, gui=False, W=1920, H=1080, radius=5, fovy=50, max_spp=64, num_train_frames=300, out_loop_eps=90, eval_freq=1, no_tqdm=False, random_noise=False, random_scale=False, error_map=False, clip_text='', rand_pose=-1, start_idx=0, end_idx=1, eval_video=False)
Render using grid size:  256
ninja: no work to do.
Loading extension module _freqencoder...
NeRFNetworkPlus(
  (grid_sample): GridEncoder: input_dim=2 num_levels=3 level_dim=32 resolution=512 -> 512 per_level_scale=1.0000 gridtype=tiled align_corners=True interpolation=linear
  (encoder): FreqEncoder: input_dim=24 degree=2 output_dim=120
  (encoder_sigma): FreqEncoder: input_dim=8 degree=2 output_dim=40
  (encoder_dir): FreqEncoder: input_dim=3 degree=2 output_dim=15
  (color_net): ModuleList(
    (0): Linear(in_features=263, out_features=128, bias=False)
    (1): Linear(in_features=128, out_features=128, bias=False)
    (2): Linear(in_features=128, out_features=3, bias=False)
  )
  (sigma_net): Sequential(
    (0): Linear(in_features=40, out_features=128, bias=True)
    (1): Softplus(beta=1, threshold=20)
    (2): Linear(in_features=128, out_features=129, bias=True)
  )
)
1
Creating triplane as /home/wcc/RodinHD/data/save_triplane_and_mlp_300_pro/1_1_neutral.npy
Generate dataset cost 7.463481187820435 s/avatar.

[INFO] Trainer: ngp | 2024-10-29_15-37-15 | cuda:0 | fp16 | 
/home/wcc/RodinHD/data/save_triplane_and_mlp_300_pro
[INFO] #parameters: 72321
[INFO] Loading latest checkpoint ...
[WARN] No checkpoint found, model randomly initialized.
Creating triplane as /home/wcc/RodinHD/data/save_triplane_and_mlp_300_pro/1_1_neutral.npy
==> Start Training Epoch(random shuffle rays) 1, lr1=0.002000 lr0=0.020000

  0% 0/4800 [00:00<?, ?it/s]
loss=0.1505 (0.1505) xyz.shape=torch.Size([1198080, 3]): :   0% 0/4800 [00:03<?, ?it/s]
loss=0.1505 (0.1505) xyz.shape=torch.Size([1198080, 3]): :   0% 1/4800 [00:03<4:13:28,  3.17s/it]
loss=0.1511 (0.1508) xyz.shape=torch.Size([1198080, 3]): :   0% 1/4800 [00:03<4:13:28,  3.17s/it]
loss=0.1511 (0.1508) xyz.shape=torch.Size([1198080, 3]): :   0% 2/4800 [00:03<1:58:05,  1.48s/it]
loss=0.1367 (0.1461) xyz.shape=torch.Size([1210752, 3]): :   0% 2/4800 [00:03<1:58:05,  1.48s/it]
loss=0.1367 (0.1461) xyz.shape=torch.Size([1210752, 3]): :   0% 3/4800 [00:03<1:15:13,  1.06it/s]
loss=0.1495 (0.1470) xyz.shape=torch.Size([1210368, 3]): :   0% 3/4800 [00:04<1:15:13,  1.06it/s]
loss=0.1495 (0.1470) xyz.shape=torch.Size([1210368, 3]): :   0% 4/4800 [00:04<55:27,  1.44it/s]  
loss=0.1428 (0.1461) xyz.shape=torch.Size([1211136, 3]): :   0% 4/4800 [00:05<55:27,  1.44it/s]
loss=0.1428 (0.1461) xyz.shape=torch.Size([1211136, 3]): :   0% 5/4800 [00:05<1:21:47,  1.02s/it]
loss=0.1407 (0.1452) xyz.shape=torch.Size([1213184, 3]): :   0% 5/4800 [00:05<1:21:47,  1.02s/it]
loss=0.1407 (0.1452) xyz.shape=torch.Size([1213184, 3]): :   0% 6/4800 [00:05<1:02:00,  1.29it/s]
loss=0.1418 (0.1447) xyz.shape=torch.Size([1212160, 3]): :   0% 6/4800 [00:06<1:02:00,  1.29it/s]
loss=0.1418 (0.1447) xyz.shape=torch.Size([1212160, 3]): :   0% 7/4800 [00:06<49:25,  1.62it/s]  
loss=0.1399 (0.1441) xyz.shape=torch.Size([1133824, 3]): :   0% 7/4800 [00:06<49:25,  1.62it/s]
loss=0.1399 (0.1441) xyz.shape=torch.Size([1133824, 3]): :   0% 8/4800 [00:06<40:56,  1.95it/s]
loss=0.1437 (0.1441) xyz.shape=torch.Size([1158656, 3]): :   0% 8/4800 [00:06<40:56,  1.95it/s]
loss=0.1437 (0.1441) xyz.shape=torch.Size([1158656, 3]): :   0% 9/4800 [00:06<35:25,  2.25it/s]
loss=0.1510 (0.1448) xyz.shape=torch.Size([1172992, 3]): :   0% 9/4800 [00:07<35:25,  2.25it/s]
loss=0.1510 (0.1448) xyz.shape=torch.Size([1172992, 3]): :   0% 10/4800 [00:07<37:26,  2.13it/s]
loss=0.1373 (0.1441) xyz.shape=torch.Size([1149568, 3]): :   0% 10/4800 [00:07<37:26,  2.13it/s]
loss=0.1373 (0.1441) xyz.shape=torch.Size([1149568, 3]): :   0% 11/4800 [00:07<33:01,  2.42it/s]
loss=0.1459 (0.1442) xyz.shape=torch.Size([1146624, 3]): :   0% 11/4800 [00:07<33:01,  2.42it/s]
loss=0.1459 (0.1442) xyz.shape=torch.Size([1146624, 3]): :   0% 12/4800 [00:07<30:02,  2.66it/s]
loss=0.1358 (0.1436) xyz.shape=torch.Size([1137920, 3]): :   0% 12/4800 [00:08<30:02,  2.66it/s]
loss=0.1358 (0.1436) xyz.shape=torch.Size([1137920, 3]): :   0% 13/4800 [00:08<27:57,  2.85it/s]
loss=0.1486 (0.1440) xyz.shape=torch.Size([1138432, 3]): :   0% 13/4800 [00:08<27:57,  2.85it/s]
loss=0.1486 (0.1440) xyz.shape=torch.Size([1138432, 3]): :   0% 14/4800 [00:08<26:37,  3.00it/s]
loss=0.1433 (0.1439) xyz.shape=torch.Size([1126656, 3]): :   0% 14/4800 [00:09<26:37,  3.00it/s]
loss=0.1433 (0.1439) xyz.shape=torch.Size([1126656, 3]): :   0% 15/4800 [00:09<36:49,  2.17it/s]
loss=0.1446 (0.1440) xyz.shape=torch.Size([1088768, 3]): :   0% 15/4800 [00:09<36:49,  2.17it/s]
loss=0.1446 (0.1440) xyz.shape=torch.Size([1088768, 3]): :   0% 16/4800 [00:09<32:40,  2.44it/s]
loss=0.1397 (0.1437) xyz.shape=torch.Size([1072384, 3]): :   0% 16/4800 [00:09<32:40,  2.44it/s]
loss=0.1397 (0.1437) xyz.shape=torch.Size([1072384, 3]): :   0% 17/4800 [00:09<27:55,  2.86it/s]
loss=0.1488 (0.1440) xyz.shape=torch.Size([1066752, 3]): :   0% 17/4800 [00:10<27:55,  2.86it/s]
loss=0.1488 (0.1440) xyz.shape=torch.Size([1066752, 3]): :   0% 18/4800 [00:10<24:34,  3.24it/s]
loss=0.1451 (0.1440) xyz.shape=torch.Size([1081856, 3]): :   0% 18/4800 [00:10<24:34,  3.24it/s]
loss=0.1451 (0.1440) xyz.shape=torch.Size([1081856, 3]): :   0% 19/4800 [00:10<22:08,  3.60it/s]
loss=0.1347 (0.1436) xyz.shape=torch.Size([1090560, 3]): :   0% 19/4800 [00:10<22:08,  3.60it/s]
loss=0.1347 (0.1436) xyz.shape=torch.Size([1090560, 3]): :   0% 20/4800 [00:10<29:01,  2.74it/s]
loss=0.1454 (0.1437) xyz.shape=torch.Size([1108608, 3]): :   0% 20/4800 [00:10<29:01,  2.74it/s]
loss=0.1454 (0.1437) xyz.shape=torch.Size([1108608, 3]): :   0% 21/4800 [00:10<25:14,  3.15it/s]
loss=0.1413 (0.1436) xyz.shape=torch.Size([1137024, 3]): :   0% 21/4800 [00:11<25:14,  3.15it/s]
loss=0.1413 (0.1436) xyz.shape=torch.Size([1137024, 3]): :   0% 22/4800 [00:11<22:45,  3.50it/s]
loss=0.1369 (0.1433) xyz.shape=torch.Size([1134848, 3]): :   0% 22/4800 [00:11<22:45,  3.50it/s]
loss=0.1369 (0.1433) xyz.shape=torch.Size([1134848, 3]): :   0% 23/4800 [00:11<20:49,  3.82it/s]
loss=0.1416 (0.1432) xyz.shape=torch.Size([1138432, 3]): :   0% 23/4800 [00:11<20:49,  3.82it/s]
loss=0.1416 (0.1432) xyz.shape=torch.Size([1138432, 3]): :   0% 24/4800 [00:11<19:30,  4.08it/s]
loss=0.1405 (0.1431) xyz.shape=torch.Size([1138816, 3]): :   0% 24/4800 [00:12<19:30,  4.08it/s]
loss=0.1405 (0.1431) xyz.shape=torch.Size([1138816, 3]): :   1% 25/4800 [00:12<24:21,  3.27it/s]
loss=0.1392 (0.1429) xyz.shape=torch.Size([1140736, 3]): :   1% 25/4800 [00:12<24:21,  3.27it/s]
loss=0.1392 (0.1429) xyz.shape=torch.Size([1140736, 3]): :   1% 26/4800 [00:12<21:54,  3.63it/s]
loss=0.1425 (0.1429) xyz.shape=torch.Size([1142784, 3]): :   1% 26/4800 [00:12<21:54,  3.63it/s]
loss=0.1425 (0.1429) xyz.shape=torch.Size([1142784, 3]): :   1% 27/4800 [00:12<20:09,  3.95it/s]
loss=0.1439 (0.1430) xyz.shape=torch.Size([1141760, 3]): :   1% 27/4800 [00:12<20:09,  3.95it/s]
loss=0.1439 (0.1430) xyz.shape=torch.Size([1141760, 3]): :   1% 28/4800 [00:12<18:55,  4.20it/s]
loss=0.1332 (0.1426) xyz.shape=torch.Size([1155584, 3]): :   1% 28/4800 [00:12<18:55,  4.20it/s]
loss=0.1332 (0.1426) xyz.shape=torch.Size([1155584, 3]): :   1% 29/4800 [00:12<18:03,  4.40it/s]
loss=0.1272 (0.1421) xyz.shape=torch.Size([1150336, 3]): :   1% 29/4800 [00:13<18:03,  4.40it/s]
loss=0.1272 (0.1421) xyz.shape=torch.Size([1150336, 3]): :   1% 30/4800 [00:13<23:11,  3.43it/s]
loss=0.1376 (0.1420) xyz.shape=torch.Size([1150848, 3]): :   1% 30/4800 [00:13<23:11,  3.43it/s]
loss=0.1376 (0.1420) xyz.shape=torch.Size([1150848, 3]): :   1% 31/4800 [00:13<21:02,  3.78it/s]
loss=0.1338 (0.1417) xyz.shape=torch.Size([1157504, 3]): :   1% 31/4800 [00:13<21:02,  3.78it/s]
loss=0.1338 (0.1417) xyz.shape=torch.Size([1157504, 3]): :   1% 32/4800 [00:13<19:30,  4.07it/s]
loss=0.1283 (0.1413) xyz.shape=torch.Size([1152896, 3]): :   1% 32/4800 [00:13<19:30,  4.07it/s]
loss=0.1283 (0.1413) xyz.shape=torch.Size([1152896, 3]): :   1% 33/4800 [00:13<18:27,  4.31it/s]
loss=0.1316 (0.1410) xyz.shape=torch.Size([1142784, 3]): :   1% 33/4800 [00:14<18:27,  4.31it/s]
loss=0.1316 (0.1410) xyz.shape=torch.Size([1142784, 3]): :   1% 34/4800 [00:14<17:37,  4.51it/s]
loss=0.1325 (0.1408) xyz.shape=torch.Size([1122048, 3]): :   1% 34/4800 [00:14<17:37,  4.51it/s]
loss=0.1325 (0.1408) xyz.shape=torch.Size([1122048, 3]): :   1% 35/4800 [00:14<17:10,  4.62it/s]
loss=0.1258 (0.1404) xyz.shape=torch.Size([1109888, 3]): :   1% 35/4800 [00:14<17:10,  4.62it/s]
loss=0.1258 (0.1404) xyz.shape=torch.Size([1109888, 3]): :   1% 36/4800 [00:14<22:16,  3.56it/s]
loss=0.1229 (0.1399) xyz.shape=torch.Size([1111296, 3]): :   1% 36/4800 [00:14<22:16,  3.56it/s]
loss=0.1229 (0.1399) xyz.shape=torch.Size([1111296, 3]): :   1% 37/4800 [00:14<20:32,  3.86it/s]
loss=0.1224 (0.1394) xyz.shape=torch.Size([1110656, 3]): :   1% 37/4800 [00:15<20:32,  3.86it/s]
loss=0.1224 (0.1394) xyz.shape=torch.Size([1110656, 3]): :   1% 38/4800 [00:15<19:15,  4.12it/s]
loss=0.1192 (0.1389) xyz.shape=torch.Size([1113856, 3]): :   1% 38/4800 [00:15<19:15,  4.12it/s]
loss=0.1192 (0.1389) xyz.shape=torch.Size([1113856, 3]): :   1% 39/4800 [00:15<18:33,  4.28it/s]
loss=0.1186 (0.1384) xyz.shape=torch.Size([1106816, 3]): :   1% 39/4800 [00:15<18:33,  4.28it/s]
loss=0.1186 (0.1384) xyz.shape=torch.Size([1106816, 3]): :   1% 40/4800 [00:15<17:54,  4.43it/s]
loss=0.1170 (0.1379) xyz.shape=torch.Size([1115136, 3]): :   1% 40/4800 [00:16<17:54,  4.43it/s]
loss=0.1170 (0.1379) xyz.shape=torch.Size([1115136, 3]): :   1% 41/4800 [00:16<25:02,  3.17it/s]
loss=0.1293 (0.1377) xyz.shape=torch.Size([1105280, 3]): :   1% 41/4800 [00:16<25:02,  3.17it/s]
loss=0.1293 (0.1377) xyz.shape=torch.Size([1105280, 3]): :   1% 42/4800 [00:16<22:25,  3.54it/s]
loss=0.1207 (0.1373) xyz.shape=torch.Size([1118336, 3]): :   1% 42/4800 [00:16<22:25,  3.54it/s]
loss=0.1207 (0.1373) xyz.shape=torch.Size([1118336, 3]): :   1% 43/4800 [00:16<20:36,  3.85it/s]
loss=0.1178 (0.1368) xyz.shape=torch.Size([1113984, 3]): :   1% 43/4800 [00:16<20:36,  3.85it/s]
loss=0.1178 (0.1368) xyz.shape=torch.Size([1113984, 3]): :   1% 44/4800 [00:16<19:16,  4.11it/s]
loss=0.1182 (0.1364) xyz.shape=torch.Size([1109504, 3]): :   1% 44/4800 [00:16<19:16,  4.11it/s]
loss=0.1182 (0.1364) xyz.shape=torch.Size([1109504, 3]): :   1% 45/4800 [00:16<18:18,  4.33it/s]
loss=0.1122 (0.1359) xyz.shape=torch.Size([1110912, 3]): :   1% 45/4800 [00:17<18:18,  4.33it/s]
loss=0.1122 (0.1359) xyz.shape=torch.Size([1110912, 3]): :   1% 46/4800 [00:17<27:55,  2.84it/s]
loss=0.1206 (0.1356) xyz.shape=torch.Size([1106688, 3]): :   1% 46/4800 [00:17<27:55,  2.84it/s]
loss=0.1206 (0.1356) xyz.shape=torch.Size([1106688, 3]): :   1% 47/4800 [00:17<24:22,  3.25it/s]
loss=0.1199 (0.1352) xyz.shape=torch.Size([1113984, 3]): :   1% 47/4800 [00:17<24:22,  3.25it/s]
loss=0.1199 (0.1352) xyz.shape=torch.Size([1113984, 3]): :   1% 48/4800 [00:17<21:54,  3.61it/s]
loss=0.1172 (0.1349) xyz.shape=torch.Size([1114752, 3]): :   1% 48/4800 [00:18<21:54,  3.61it/s]
loss=0.1172 (0.1349) xyz.shape=torch.Size([1114752, 3]): :   1% 49/4800 [00:18<20:08,  3.93it/s]
loss=0.1166 (0.1345) xyz.shape=torch.Size([1109760, 3]): :   1% 49/4800 [00:18<20:08,  3.93it/s]
loss=0.1166 (0.1345) xyz.shape=torch.Size([1109760, 3]): :   1% 50/4800 [00:18<18:50,  4.20it/s]
loss=0.1197 (0.1342) xyz.shape=torch.Size([1109632, 3]): :   1% 50/4800 [00:18<18:50,  4.20it/s]
loss=0.1197 (0.1342) xyz.shape=torch.Size([1109632, 3]): :   1% 51/4800 [00:18<24:48,  3.19it/s]
loss=0.1217 (0.1340) xyz.shape=torch.Size([1110656, 3]): :   1% 51/4800 [00:19<24:48,  3.19it/s]
loss=0.1217 (0.1340) xyz.shape=torch.Size([1110656, 3]): :   1% 52/4800 [00:19<22:06,  3.58it/s]
loss=0.1239 (0.1338) xyz.shape=torch.Size([1104000, 3]): :   1% 52/4800 [00:19<22:06,  3.58it/s]
loss=0.1239 (0.1338) xyz.shape=torch.Size([1104000, 3]): :   1% 53/4800 [00:19<20:11,  3.92it/s]
loss=0.1202 (0.1335) xyz.shape=torch.Size([1114368, 3]): :   1% 53/4800 [00:19<20:11,  3.92it/s]
loss=0.1202 (0.1335) xyz.shape=torch.Size([1114368, 3]): :   1% 54/4800 [00:19<18:51,  4.19it/s]
loss=0.1200 (0.1333) xyz.shape=torch.Size([1113088, 3]): :   1% 54/4800 [00:19<18:51,  4.19it/s]
loss=0.1200 (0.1333) xyz.shape=torch.Size([1113088, 3]): :   1% 55/4800 [00:19<17:54,  4.42it/s]
loss=0.1186 (0.1330) xyz.shape=torch.Size([1110784, 3]): :   1% 55/4800 [00:20<17:54,  4.42it/s]
loss=0.1186 (0.1330) xyz.shape=torch.Size([1110784, 3]): :   1% 56/4800 [00:20<22:51,  3.46it/s]
loss=0.1174 (0.1328) xyz.shape=torch.Size([1101440, 3]): :   1% 56/4800 [00:20<22:51,  3.46it/s]
loss=0.1174 (0.1328) xyz.shape=torch.Size([1101440, 3]): :   1% 57/4800 [00:20<20:40,  3.82it/s]
loss=0.1204 (0.1325) xyz.shape=torch.Size([1107712, 3]): :   1% 57/4800 [00:20<20:40,  3.82it/s]
loss=0.1204 (0.1325) xyz.shape=torch.Size([1107712, 3]): :   1% 58/4800 [00:20<19:08,  4.13it/s]
loss=0.1178 (0.1323) xyz.shape=torch.Size([1102464, 3]): :   1% 58/4800 [00:20<19:08,  4.13it/s]
loss=0.1178 (0.1323) xyz.shape=torch.Size([1102464, 3]): :   1% 59/4800 [00:20<18:10,  4.35it/s]
loss=0.1154 (0.1320) xyz.shape=torch.Size([1104640, 3]): :   1% 59/4800 [00:20<18:10,  4.35it/s]
loss=0.1154 (0.1320) xyz.shape=torch.Size([1104640, 3]): :   1% 60/4800 [00:20<17:31,  4.51it/s]
loss=0.1193 (0.1318) xyz.shape=torch.Size([1108736, 3]): :   1% 60/4800 [00:21<17:31,  4.51it/s]
loss=0.1193 (0.1318) xyz.shape=torch.Size([1108736, 3]): :   1% 61/4800 [00:21<22:33,  3.50it/s]
loss=0.1206 (0.1316) xyz.shape=torch.Size([1104256, 3]): :   1% 61/4800 [00:21<22:33,  3.50it/s]
loss=0.1206 (0.1316) xyz.shape=torch.Size([1104256, 3]): :   1% 62/4800 [00:21<20:28,  3.86it/s]
loss=0.1175 (0.1314) xyz.shape=torch.Size([1103616, 3]): :   1% 62/4800 [00:21<20:28,  3.86it/s]
loss=0.1175 (0.1314) xyz.shape=torch.Size([1103616, 3]): :   1% 63/4800 [00:21<18:58,  4.16it/s]
loss=0.1206 (0.1312) xyz.shape=torch.Size([1102336, 3]): :   1% 63/4800 [00:21<18:58,  4.16it/s]
loss=0.1206 (0.1312) xyz.shape=torch.Size([1102336, 3]): :   1% 64/4800 [00:21<17:55,  4.41it/s]
loss=0.1197 (0.1311) xyz.shape=torch.Size([1105024, 3]): :   1% 64/4800 [00:22<17:55,  4.41it/s]
loss=0.1197 (0.1311) xyz.shape=torch.Size([1105024, 3]): :   1% 65/4800 [00:22<17:09,  4.60it/s]
loss=0.1158 (0.1308) xyz.shape=torch.Size([1097984, 3]): :   1% 65/4800 [00:22<17:09,  4.60it/s]
loss=0.1158 (0.1308) xyz.shape=torch.Size([1097984, 3]): :   1% 66/4800 [00:22<22:18,  3.54it/s]
loss=0.1197 (0.1307) xyz.shape=torch.Size([1101824, 3]): :   1% 66/4800 [00:22<22:18,  3.54it/s]
